"phrase","definition","conjugation_overrides","manual_overrides","audio_url"
"competir","","e:i"
"consentir","","e:i"
"crear","create"
"hervir","boil","e:i"
"compartir","share",
"reflexionar","reflect",,,"https://audio1.spanishdict.com/audio?lang=es&text=reflexionar&key=09f34c550a1debc5ec0cf20f5aa0fc39"
"honrar","honor",,,"https://audio1.spanishdict.com/audio?lang=es&text=honrar&key=c4397b887631fab919a29b522df75d75"
"ofrecer","offer",,,"https://audio1.spanishdict.com/audio?lang=es&text=ofrecer&key=112b295b543922c23a0b458a2cdc2c6e"
"velar","keep vigil over",,,"https://audio1.spanishdict.com/audio?lang=es&text=velar&key=f52a047bcb9f31e85fdd836a6f6bc0b0"
"reanudar","resume",,,"https://audio1.spanishdict.com/audio?lang=es&text=reanudar&key=447a6df432c13caa382b1c5141cb7534"
"hacer/escala","stop over",,,"https://audio1.spanishdict.com/audio?lang=es&text=hacer-escala&key=27cd8b8c1f720afea63b20a7db670255"
"dis-traer","distract",,,"https://audio1.spanishdict.com/audio?lang=es&text=distraer&key=a4170b196d0ec2eb2c58de0da4032345"
"de-poner","dispose"
"im-poner","impose"
"ex-poner","expose,exhibit"
"indis-poner","indispose"
"so-pesar","weigh",,,"https://audio1.spanishdict.com/audio?lang=es&text=sopesar&key=78898b198de78e5f8672d89850aa45ea"
"diferenciar","distinguish",,,"https://audio1.spanishdict.com/audio?lang=es&text=diferenciar&key=94f89081cf26e2e05785ee5a25689a55"
"enojar","anger"
"enojarse","get mad"

